Year,Category,Economic sectors,Source,Type,Fuel type,Gas,MMTCO2e
1993,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,CH4,0.000175678417424
1993,Estimate,Agricultural,Liming and Urea,Non-Energy,N/A,CO2,0.000161284102936
1993,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,N2O,0.0196608936622
1993,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,CH4,0.047046950803125
1993,Estimate,Waste Management,Industrial WWT,Non-Energy,N/A,CH4,0.052488104586789
1993,Estimate,Waste Management,Landfill Fugitive Emissions,Non-Energy,N/A,CH4,0.42614277868237
1993,Estimate,Waste Management,MSW Incineration,Non-Energy,N/A,CO2,0.061462336010986
1993,Estimate,"Land-use, land-use change, forestry",Total Flux,Non-Energy,N/A,CO2,0.042074545971317
1994,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CO2,4.88386204311
1994,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CO2,1.275752153644470
1994,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.955945453340167
1994,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,N2O,0.02323953
1994,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.0030442488
1994,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0004836987
1994,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CH4,0.00129975
1994,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.0012812065
1994,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00042833125
1994,Estimate,Electric power,Transmission and Distribution,Non-Energy,N/A,SF6,0.07015213299015
1994,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CO2,0.066910914235773
1994,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,N2O,0.000262014940052
